,spxl_simulation
1936-05-25,507.2207107774772
1936-05-26,528.5569230694708
1936-05-27,525.2435636200453
1936-05-28,512.1095110309137
1936-05-29,522.8324208940849
1936-05-31,527.765179462716
1936-06-01,526.3805085929886
1936-06-02,526.3592869282153
1936-06-03,520.8513466583356
1936-06-04,497.9477573648243
1936-06-05,496.87046807847514
1936-06-08,520.0752597252995
1936-06-09,535.2866220469848
1936-06-10,543.0281760335183
1936-06-11,566.5188433973522
1936-06-12,546.9211654223552
1936-06-15,563.7678287575595
1936-06-16,584.3987380091833
1936-06-17,576.1497258632526
1936-06-18,584.274069573381
1936-06-19,573.677189544568
1936-06-22,601.5062240019322
1936-06-23,593.1000022832757
1936-06-24,612.0552908147464
1936-06-25,592.6515557280633
1936-06-26,586.701146708852
1936-06-29,579.6135328500123
1936-06-30,579.1705972369421
1936-07-01,585.955038592077
1936-07-02,583.571864617333
1936-07-03,600.0201237153909
1936-07-06,590.4083945861055
1936-07-07,574.972324231368
1936-07-08,584.2667233949726
1936-07-09,605.4321559315464
1936-07-10,639.1544632615442
1936-07-13,651.6203131533283
1936-07-14,674.3691212011835
1936-07-15,675.6363077099498
1936-07-16,674.3130910453687
1936-07-17,678.168706208327
1936-07-20,700.2273190529855
1936-07-21,713.4693472757334
1936-07-22,700.0042486752384
1936-07-23,707.9356459068556
1936-07-24,699.8876951713853
1936-07-27,742.303710027012
1936-07-28,738.1372440254825
1936-07-29,716.1280763507199
1936-07-30,724.1758372240508
1936-07-31,707.7185631599293
1936-08-01,707.3647038783494
1936-08-03,715.369349447094
1936-08-04,709.9448879832818
1936-08-05,696.4957574198031
1936-08-06,709.7174381162772
1936-08-07,737.8628631882616
1936-08-10,754.3525708509691
1936-08-11,737.5586290941878
1936-08-12,748.5372312765788
1936-08-13,737.3901635222984
1936-08-14,708.4701484915041
1936-08-17,699.0667443789968
1936-08-18,700.3659025801556
1936-08-19,712.2983744981813
1936-08-20,700.1740245560163
1936-08-21,635.0442265505072
1936-08-24,676.0560772592576
1936-08-25,678.6207295269164
1936-08-26,663.0028492060206
1936-08-27,706.4656954076636
1936-08-28,710.4385924088979
1936-08-31,726.3883924720673
1936-09-01,720.6172318727979
1936-09-02,728.7205367960474
1936-09-03,720.4981721260431
1936-09-04,729.9553072041489
1936-09-08,766.8338674831497
1936-09-09,749.85620666369
1936-09-10,748.4347764075508
1936-09-11,741.4576363203457
1936-09-14,720.7164996136657
1936-09-15,716.6232522718407
1936-09-16,591.0840736204552
1936-09-17,693.9088721634148
1936-09-18,714.8688195391002
1936-09-21,732.2321807509236
1936-09-22,740.3585755118991
1936-09-23,729.3739755789613
1936-09-24,733.411846938986
1936-09-25,693.922271949117
1936-09-28,726.6675715930419
1936-09-29,717.1776303838533
1936-09-30,717.2636163377663
1936-10-01,721.0338105050373
1936-10-02,762.8101799895828
1936-10-05,787.9732970580062
1936-10-06,809.392563344835
1936-10-07,815.1827542153092
1936-10-08,828.3137262691474
1936-10-09,837.1501384345164
1936-10-13,850.514461284658
1936-10-14,838.4445890598709
1936-10-15,833.9405549853566
1936-10-16,862.1175341510086
1936-10-19,875.7427855202768
1936-10-20,872.640385155578
1936-10-21,883.3154229081067
1936-10-22,861.6855253198507
1936-10-23,869.2358931847577
1936-10-26,802.0626757494151
1936-10-27,842.4947629067804
1936-10-28,843.9538487154372
1936-10-29,882.7795617823364
1936-10-30,887.3630125997734
1936-10-31,895.8237383358174
1936-11-01,895.577386807775
1936-11-02,886.1852776456034
1936-11-04,926.4072388100959
1936-11-05,947.0982914164416
1936-11-06,926.0256254676556
1936-11-09,967.4284962146501
1936-11-10,957.5453482253421
1936-11-12,924.9188611069039
1936-11-13,894.6346556039507
1936-11-16,919.5072088310322
1936-11-17,957.5185534122112
1936-11-18,936.3104836590556
1936-11-19,902.5846475868219
1936-11-20,875.9402705398564
1936-11-23,839.0878496117808
1936-11-24,882.2753937544616
1936-11-25,868.374028862325
1936-11-27,906.447885416365
1936-11-30,905.930515753117
1936-12-01,883.6027551524752
1936-12-02,854.1827501833343
1936-12-03,867.7547628611504
1936-12-04,863.1364140013541
1936-12-07,847.8787511718152
1936-12-08,856.86973832436
1936-12-09,868.9535632016762
1936-12-10,894.9106911841856
1936-12-11,882.4019881828683
1936-12-14,910.1668651614309
1936-12-15,910.1301706870252
1936-12-16,905.3643215158281
1936-12-17,884.9059131393628
1936-12-18,860.1176241357439
1936-12-21,806.9580353778537
1936-12-22,837.4591945742542
1936-12-23,862.7578254601387
1936-12-24,867.2822333650543
1936-12-28,848.9461881985827
1936-12-29,859.4359372436435
1936-12-30,898.8110488384683
1936-12-31,894.2052141385822
1937-01-01,893.8251769225733
1937-01-04,854.7688337922301
1937-01-05,877.4541586514886
1937-01-06,878.9599788582954
1937-01-07,939.0990993009299
1937-01-08,939.0612383886261
1937-01-11,953.5283294812734
1937-01-12,955.1179944003037
1937-01-13,959.969333221541
1937-01-14,968.1073777432135
1937-01-15,981.2249594822541
1937-01-18,981.185400215113
1937-01-19,961.2346925698397
1937-01-20,997.201159290412
1937-01-21,1017.2836815816473
1937-01-22,1001.9497673599885
1937-01-25,985.0885600549841
1937-01-26,941.809167090621
1937-01-27,964.3617080653294
1937-01-28,961.0443813194759
1937-01-29,983.9007885881797
1937-01-31,994.0690921233647
1937-02-01,1012.1165552816867
1937-02-02,1032.4541072173758
1937-02-03,1054.7821494994103
1937-02-04,1058.2305290874262
1937-02-05,1007.4629404206702
1937-02-08,1042.9597586422187
1937-02-09,1029.0654502478296
1937-02-10,1059.9130863655832
1937-02-11,1086.1202660216582
1937-02-15,1046.9476908974532
1937-02-16,1055.5818440184246
1937-02-17,1050.3051713045536
1937-02-18,1067.651636707884
1937-02-19,1093.9779491810505
1937-02-23,1022.4705871231446
1937-02-24,1039.4991624633994
1937-02-25,1027.3767433356968
1937-02-26,1037.6089196076516
1937-02-28,1048.1766383561733
1937-03-01,1052.3622580696222
1937-03-02,1095.950106855901
1937-03-03,1133.5528841092407
1937-03-04,1102.3421160616433
1937-03-05,1145.4800993162823
1937-03-08,1134.3601649683333
1937-03-09,1130.6476857822038
1937-03-10,1154.3857691176063
1937-03-11,1100.546026612809
1937-03-12,1096.9093737527137
1937-03-15,1057.4334114929318
1937-03-16,1073.1300415951696
1937-03-17,1051.895137152486
1937-03-18,985.6371823032403
1937-03-19,983.9295335682236
1937-03-22,900.6001144930482
1937-03-23,942.9266882283976
1937-03-24,976.8536039550029
1937-03-25,973.502687394014
1937-03-29,965.2039188929999
1937-03-30,1017.7232361584396
1937-03-31,1023.1381235865628
1937-04-01,985.6946102250369
1937-04-02,948.9210750273971
1937-04-05,970.0424559818687
1937-04-06,943.5773445599151
1937-04-07,854.369779793545
1937-04-08,866.4612217264719
1937-04-09,872.5462390323697
1937-04-12,883.2704319070867
1937-04-13,911.1277272358135
1937-04-14,914.2543154180287
1937-04-15,903.1197292992327
1937-04-16,892.0760558420966
1937-04-19,887.3612141905267
1937-04-20,895.0958333147065
1937-04-21,931.0094626861838
1937-04-22,895.6782201433813
1937-04-23,842.4952559023874
1937-04-26,738.9618724965461
1937-04-27,775.9716296599297
1937-04-28,713.5981329418473
1937-04-29,713.5693633728513
1937-04-30,780.6350923172666
1937-05-01,779.8349413476413
1937-05-03,785.4990493507188
1937-05-04,822.6678456235137
1937-05-05,801.9819295150486
1937-05-06,819.3523144695065
1937-05-07,810.4933706185373
1937-05-10,756.4279492614966
1937-05-11,757.7913618686122
1937-05-12,743.8051694296526
1937-05-13,669.3485895961285
1937-05-14,689.8511454069599
1937-05-17,664.9520395589703
1937-05-18,698.1302626407133
1937-05-19,692.8265731311519
1937-05-20,747.9098456735177
1937-05-21,749.259600250801
1937-05-24,775.4786691830321
1937-05-25,745.7664045321615
1937-05-26,742.9827390283975
1937-05-27,747.072836940857
1937-05-28,747.0427177988144
1937-05-31,756.3132817076566
1937-06-01,713.7397493063
1937-06-02,728.4687507992405
1937-06-03,732.5191693556259
1937-06-04,757.05873938519
1937-06-07,736.1018691144744
1937-06-08,742.9176662739177
1937-06-09,723.603215821808
1937-06-10,710.0401824106266
1937-06-11,681.9484875946896
1937-06-14,612.9891379941537
1937-06-15,629.9022823584414
1937-06-16,610.1667765584391
1937-06-17,635.4653040396358
1937-06-18,650.3043699644401
1937-06-21,630.1526784278262
1937-06-22,633.8219793208085
1937-06-23,649.8686348620523
1937-06-24,663.6694268557067
1937-06-25,650.896138336854
1937-06-28,600.542875668933
1937-06-29,602.9017707084058
1937-06-30,642.0324097765567
1937-07-01,650.3120901851655
1937-07-02,679.2913886967984
1937-07-06,750.654498509868
1937-07-07,767.2542578258706
1937-07-08,771.4414421636238
1937-07-09,760.1209536133927
1937-07-12,790.830633772984
1937-07-13,770.7170564925945
1937-07-14,767.8661465723656
1937-07-15,779.0859758402041
1937-07-16,773.3748585454631
1937-07-19,818.5592614785274
1937-07-20,847.865448600364
1937-07-21,829.8127247330901
1937-07-22,837.1796502220321
1937-07-23,847.5672211441896
1937-07-26,865.5448034721425
1937-07-27,862.4660921644303
1937-07-28,822.9522414374574
1937-07-29,814.0909145951124
1937-07-30,821.3616872445539
1937-07-31,831.4518558532428
1937-08-01,830.8490532577492
1937-08-02,875.4049512057683
1937-08-03,853.8306963072454
1937-08-04,867.4131831939901
